code,code_type,description,category,common_appeal_argument
1,CARC,Deductible Amount,,
2,CARC,Coinsurance Amount,,
3,CARC,Co-payment Amount,,
4,CARC,"The procedure code is inconsistent with the modifier used. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
5,CARC,"The procedure code/type of bill is inconsistent with the place of service. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
6,CARC,"The procedure/revenue code is inconsistent with the patient's age. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
7,CARC,"The procedure/revenue code is inconsistent with the patient's gender. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
8,CARC,"The procedure code is inconsistent with the provider type/specialty (taxonomy). Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
9,CARC,"The diagnosis is inconsistent with the patient's age. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
10,CARC,"The diagnosis is inconsistent with the patient's gender. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
11,CARC,"The diagnosis is inconsistent with the procedure. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
12,CARC,"The diagnosis is inconsistent with the provider type. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
13,CARC,The date of death precedes the date of service.,,
14,CARC,The date of birth follows the date of service.,,
15,CARC,"The authorization number is missing, invalid, or does not apply to the billed services or provider.",,
16,CARC,"Claim/service lacks information or has submission/billing error(s). Usage: Do not use this code for claims attachment(s)/other documentation. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.) Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
17,CARC,Requested information was not provided or was insufficient/incomplete. At least one Remark Code must be provided (may be comprised of either the Remittance Advice Remark Code or NCPDP Reject Reason Code.),,
18,CARC,Exact duplicate claim/service (Use only with Group Code OA except where state workers' compensation regulations requires CO),,
19,CARC,This is a work-related injury/illness and thus the liability of the Worker's Compensation Carrier.,,
20,CARC,This injury/illness is covered by the liability carrier.,,
21,CARC,This injury/illness is the liability of the no-fault carrier.,,
22,CARC,This care may be covered by another payer per coordination of benefits.,,
23,CARC,The impact of prior payer(s) adjudication including payments and/or adjustments. (Use only with Group Code OA),,
24,CARC,Charges are covered under a capitation agreement/managed care plan.,,
25,CARC,Payment denied. Your Stop loss deductible has not been met.,,
26,CARC,Expenses incurred prior to coverage.,,
27,CARC,Expenses incurred after coverage terminated.,,
28,CARC,Coverage not in effect at the time the service was provided.,,
29,CARC,The time limit for filing has expired.,,
30,CARC,"Payment adjusted because the patient has not met the required eligibility, spend down, waiting, or residency requirements.",,
31,CARC,Patient cannot be identified as our insured.,,
32,CARC,Our records indicate the patient is not an eligible dependent.,,
33,CARC,Insured has no dependent coverage.,,
34,CARC,Insured has no coverage for newborns.,,
35,CARC,Lifetime benefit maximum has been reached.,,
36,CARC,Balance does not exceed co-payment amount.,,
37,CARC,Balance does not exceed deductible.,,
38,CARC,Services not provided or authorized by designated (network/primary care) providers.,,
39,CARC,Services denied at the time authorization/pre-certification was requested.,,
40,CARC,"Charges do not meet qualifications for emergent/urgent care. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
41,CARC,Discount agreed to in Preferred Provider contract.,,
42,CARC,Charges exceed our fee schedule or maximum allowable amount. (Use CARC 45),,
43,CARC,Gramm-Rudman reduction.,,
44,CARC,Prompt-pay discount.,,
45,CARC,Charge exceeds fee schedule/maximum allowable or contracted/legislated fee arrangement. Usage: This adjustment amount cannot equal the total service or claim charge amount; and must not duplicate provider adjustment amounts (payments and contractual reductions) that have resulted from prior payer(s) adjudication. (Use only with Group Codes PR or CO depending upon liability),,
46,CARC,This (these) service(s) is (are) not covered.,,
47,CARC,"This (these) diagnosis(es) is (are) not covered, missing, or are invalid.",,
48,CARC,This (these) procedure(s) is (are) not covered.,,
49,CARC,"This is a non-covered service because it is a routine/preventive exam or a diagnostic/screening procedure done in conjunction with a routine/preventive exam. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
50,CARC,"These are non-covered services because this is not deemed a 'medical necessity' by the payer. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
51,CARC,"These are non-covered services because this is a pre-existing condition. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
52,CARC,The referring/prescribing/rendering provider is not eligible to refer/prescribe/order/perform the service billed.,,
53,CARC,Services by an immediate relative or a member of the same household are not covered.,,
54,CARC,"Multiple physicians/assistants are not covered in this case. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
55,CARC,"Procedure/treatment/drug is deemed experimental/investigational by the payer. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
56,CARC,"Procedure/treatment has not been deemed 'proven to be effective' by the payer. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
57,CARC,"Payment denied/reduced because the payer deems the information submitted does not support this level of service, this many services, this length of service, this dosage, or this day's supply.",,
58,CARC,"Treatment was deemed by the payer to have been rendered in an inappropriate or invalid place of service. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
59,CARC,"Processed based on multiple or concurrent procedure rules. (For example multiple surgery or diagnostic imaging, concurrent anesthesia.) Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
60,CARC,Charges for outpatient services are not covered when performed within a period of time prior to or after inpatient services.,,
61,CARC,Adjusted for failure to obtain second surgical opinion,,
62,CARC,"Payment denied/reduced for absence of, or exceeded, pre-certification/authorization.",,
63,CARC,Correction to a prior claim.,,
64,CARC,Denial reversed per Medical Review.,,
65,CARC,Procedure code was incorrect. This payment reflects the correct code.,,
66,CARC,Blood Deductible.,,
67,CARC,"Lifetime reserve days. (Handled in QTY, QTY01=LA)",,
68,CARC,DRG weight. (Handled in CLP12),,
69,CARC,Day outlier amount.,,
70,CARC,Cost outlier - Adjustment to compensate for additional costs.,,
71,CARC,Primary Payer amount.,,
72,CARC,"Coinsurance day. (Handled in QTY, QTY01=CD)",,
73,CARC,Administrative days.,,
74,CARC,Indirect Medical Education Adjustment.,,
75,CARC,Direct Medical Education Adjustment.,,
76,CARC,Disproportionate Share Adjustment.,,
77,CARC,"Covered days. (Handled in QTY, QTY01=CA)",,
78,CARC,Non-Covered days/Room charge adjustment.,,
79,CARC,Cost Report days. (Handled in MIA15),,
80,CARC,"Outlier days. (Handled in QTY, QTY01=OU)",,
81,CARC,Discharges.,,
82,CARC,PIP days.,,
83,CARC,Total visits.,,
84,CARC,Capital Adjustment. (Handled in MIA),,
85,CARC,Patient Interest Adjustment (Use Only Group code PR),,
86,CARC,Statutory Adjustment.,,
87,CARC,Transfer amount.,,
88,CARC,Adjustment amount represents collection against receivable created in prior overpayment.,,
89,CARC,Professional fees removed from charges.,,
90,CARC,Ingredient cost adjustment. Usage: To be used for pharmaceuticals only.,,
91,CARC,Dispensing fee adjustment.,,
92,CARC,Claim Paid in full.,,
93,CARC,No Claim level Adjustments.,,
94,CARC,Processed in Excess of charges.,,
95,CARC,Plan procedures not followed.,,
96,CARC,"Non-covered charge(s). At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.) Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
97,CARC,"The benefit for this service is included in the payment/allowance for another service/procedure that has already been adjudicated. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
98,CARC,The hospital must file the Medicare claim for this inpatient non-physician service.,,
99,CARC,Medicare Secondary Payer Adjustment Amount.,,
100,CARC,Payment made to patient/insured/responsible party.,,
101,CARC,Predetermination: anticipated payment upon completion of services or claim adjudication.,,
102,CARC,Major Medical Adjustment.,,
103,CARC,"Provider promotional discount (e.g., Senior citizen discount).",,
104,CARC,Managed care withholding.,,
105,CARC,Tax withholding.,,
106,CARC,Patient payment option/election not in effect.,,
107,CARC,"The related or qualifying claim/service was not identified on this claim. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
108,CARC,"Rent/purchase guidelines were not met. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,
109,CARC,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor.,,
110,CARC,Billing date predates service date.,,
111,CARC,Not covered unless the provider accepts assignment.,,
112,CARC,Service not furnished directly to the patient and/or not documented.,,
113,CARC,Payment denied because service/procedure was provided outside the United States or as a result of war.,,
114,CARC,Procedure/product not approved by the Food and Drug Administration.,,
115,CARC,"Procedure postponed, canceled, or delayed.",,
116,CARC,The advance indemnification notice signed by the patient did not comply with requirements.,,
117,CARC,Transportation is only covered to the closest facility that can provide the necessary care.,,
118,CARC,ESRD network support adjustment.,,
119,CARC,Benefit maximum for this time period or occurrence has been reached.,,
120,CARC,Patient is covered by a managed care plan.,,
121,CARC,Indemnification adjustment - compensation for outstanding member responsibility.,,
122,CARC,Psychiatric reduction.,,
123,CARC,Payer refund due to overpayment.,,
124,CARC,Payer refund amount - not our patient.,,
125,CARC,"Submission/billing error(s). At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)",,
126,CARC,Deductible -- Major Medical,,
127,CARC,Coinsurance -- Major Medical,,
128,CARC,Newborn's services are covered in the mother's Allowance.,,
129,CARC,"Prior processing information appears incorrect. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)",,
130,CARC,Claim submission fee.,,
131,CARC,Claim specific negotiated discount.,,
132,CARC,Prearranged demonstration project adjustment.,,
133,CARC,The disposition of this service line is pending further review. (Use only with Group Code OA). Usage: Use of this code requires a reversal and correction when the service line is finalized (use only in Loop 2110 CAS segment of the 835 or Loop 2430 of the 837).,,
134,CARC,Technical fees removed from charges.,,
135,CARC,Interim bills cannot be processed.,,
136,CARC,Failure to follow prior payer's coverage rules. (Use only with Group Code OA),,
137,CARC,"Regulatory Surcharges, Assessments, Allowances or Health Related Taxes.",,
138,CARC,Appeal procedures not followed or time limits not met.,,
139,CARC,Contracted funding agreement - Subscriber is employed by the provider of services. Use only with Group Code CO.,,
140,CARC,Patient/Insured health identification number and name do not match.,,
141,CARC,Claim spans eligible and ineligible periods of coverage.,,
142,CARC,Monthly Medicaid patient liability amount.,,
143,CARC,Portion of payment deferred.,,
144,CARC,"Incentive adjustment, e.g. preferred product/service.",,
145,CARC,Premium payment withholding,,
146,CARC,Diagnosis was invalid for the date(s) of service reported.,,
147,CARC,Provider contracted/negotiated rate expired or not on file.,,
148,CARC,"Information from another provider was not provided or was insufficient/incomplete. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)",,
149,CARC,Lifetime benefit maximum has been reached for this service/benefit category.,,
